LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_thou,men_thou,women_thou,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
ניר עציון,769,1950,3,מחוז חיפה,32,נפת חדרה,322,אזור זכרון יעקב,243,"מטרופולין חיפה, טבעת חיצונית, גזרה דרומית",320,מושב שיתופי,15,מועצה אזורית חוף הכרמל,0.9,0.5,0.4,1,יהודים,81.1,39.1,55.5,5.4,40.3,55.5,4.2,37.7,55.6,6.7,1679.4,19,19,19,32,68,28.4,71.6,36.6,63.4,45.9,54.1,10.8,6.1,18.1,65,27.5,3.8,46.9,17.1,4.7,501
ניר צבי,331,1954,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",310,מושב,40,מועצה אזורית עמק לוד,1.1,0.6,0.6,1,יהודים,98.8,32.4,56.4,11.3,32.2,56.5,11.3,32.5,56.3,11.2,861,33,32,33,64,36,63.2,36.8,64.8,35.2,83.4,16.6,62.6,24.8,6.4,6.1,49.8,5.9,4.1,22.1,18.1,501
נירית,1236,1982,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",370,יישוב קהילתי,20,מועצה אזורית דרום השרון,1,0.5,0.5,1,יהודים,99.5,31.1,68.5,0.4,30.4,69.1,0.5,31.9,68,0.2,531.4,25,25,25,55.2,44.8,55,45,55.4,44.6,91.6,8.4,29.7,50.4,12.8,7.1,54.4,9,10.5,22.8,3.3,501
נס הרים,825,1950,1,מחוז ירושלים,11,נפת ירושלים,111,הרי יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,0.7,0.4,0.4,1,יהודים,99,35,59,6,32.1,61.4,6.5,37.8,56.8,5.5,746.3,28,30,26,61.8,38.2,60.6,39.4,63,37,88.6,11.4,81.3,11.8,4.4,2.5,52.1,37.2,6.1,2.7,2,501
נעלה,3787,1988,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,73,מועצה אזורית מטה בנימין,0.9,0.5,0.4,1,יהודים,97.8,42.6,53.7,3.7,41.1,54.6,4.3,44.1,52.8,3.1,915,26,26,27,69.1,30.9,66.4,33.6,72,28,85.6,14.4,21.5,41.1,35.4,2,50.7,14.7,10.3,18.9,5.5,501
נען,158,1930,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",330,קיבוץ,30,מועצה אזורית גזר,1.3,0.6,0.7,1,יהודים,98.7,24.1,61.9,13.9,25.4,61.5,13.1,23,62.3,14.8,673.2,34,34,36,54.6,45.4,57.2,42.8,52.2,47.8,81.9,18.1,44.9,28.9,16.3,9.9,50.8,6.2,5.2,29.6,8.2,501
נצר סרני,435,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",330,קיבוץ,30,מועצה אזורית גזר,0.7,0.3,0.3,1,יהודים,97,20,64.8,15.3,21.3,65.1,13.6,18.7,64.4,16.9,592.5,34,33,36,54.7,45.3,55.1,44.9,54.4,45.6,81.4,18.6,70.6,17.4,9,3,44.5,6.2,5.1,40.7,3.5,501
נתיב העשרה,1242,1982,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,310,מושב,36,מועצה אזורית חוף אשקלון,0.7,0.3,0.3,1,יהודים,98.9,34.2,60.9,4.9,33.5,60.4,6.2,35,61.4,3.7,675.2,31,32,30,67.4,32.6,69.7,30.3,65.3,34.7,85.8,14.2,50.2,35.5,11.5,2.8,50.1,12.3,12.5,19.4,5.6,501
סגולה,2046,1953,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,35,מועצה אזורית יואב,0.6,0.3,0.3,1,יהודים,98.9,37.8,54.6,7.6,35.3,58.4,6.3,40.2,51.1,8.8,880.1,29,30,29,64,36,62.5,37.5,65.6,34.4,85.9,14.1,69.9,12.5,9.9,7.8,52.6,17.3,12.2,14.3,3.5,501
סוסיה,3756,1983,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,78,מועצה אזורית הר חברון,0.8,0.5,0.3,1,יהודים,100,61.2,38.3,0.5,68.3,31.5,0.2,49.5,49.6,1,2004.8,16,16,18,44.5,55.5,34.4,65.6,62.9,37.1,92.3,7.7,8,36.2,35.9,20,62.6,2,11,13.2,11.1,501
